bcl::storage::Table<double>   subunits nr_coordinates   rgyr_sqr 
3BIO                                 2            581    704.732 
3BIQ                                 1            441    578.523 
3BIY                                 1            317    398.697 
3BJ4                                 4            150     308.18 
3BJD                                 2            643    665.821 
3BJE                                 2            654    582.068 
3BJN                                 1            162    219.829 
3BK5                                 1            235    307.789 
3BKX                                 2            548    781.877 
3BL9                                 2            575    630.326 
3BLD                                 2            696    935.315 
3BLZ                                 4            496    502.907 
3BM1                                 2            354    417.079 
3BM3                                 2            517    619.934 
3BM4                                 2            394    424.971 
3BMX                                 1            617    636.125 
3BMZ                                 2            375    438.798 
3BN0                                 1             95    175.479 
3BNE                                 1            818    802.921 
3BNY                                 2            591    974.836 
3BO6                                 1            220    285.655 
3BOD                                 1            178    239.689 
3BOE                                 1            209    245.379 
3BOF                                 2           1116    2017.79 
3BOG                                 2            115    240.486 
3BON                                 1            416    480.589 
3BP1                                 4           1019    994.872 
3BP6                                 2            298    729.734 
3BPJ                                 2            143    224.794 
3BPK                                 2            397    403.043 
3BPT                                 1            362    410.773 
3BPV                                 2            274    377.652 
3BPW                                 2            651    608.575 
3BQ9                                 4           1784    1529.87 
3BQA                                 1            146     251.36 
3BQK                                 1            338    497.522 
3BQO                                 4            430    691.902 
3BQP                                 1             80    132.703 
3BQX                                 2            278    306.875 
3BRC                                 2            310    344.318 
3BS1                                 2            103    183.467 
3BS2                                 1            146    206.073 
3BS3                                 2            124    227.231 
3BS4                                 2            245     312.43 
3BS6                                 1            258    322.957 
3BSO                                 1            479    550.738 
3BT5                                 1            151    249.274 
3BUT                                 2            250    655.453 
3BUU                                 1            224    304.767 
3BUX                                 1              5    22.3932 
3BV4                                 2            682    785.356 
3BV8                                 1             85     263.36 
3BVF                                24           4128    2744.71 
3BVX                                 1           1016    881.914 
3BWH                                 1            244    315.038 
3BWL                                 2            247    366.175 
3BWS                                 1            407    493.942 
3BWU                                 3            449    669.145 
3BWX                                 1            285    317.443 
3BWZ                                 1            170    266.143 
3BXP                                 2            520    644.329 
3BXU                                 2            142    273.165 
3BY4                                 2            247    349.895 
3BY8                                 1            133     197.07 
3BY9                                 1            259    441.362 
3BYP                                 2            164    333.467 
3BYQ                                 6           1148    803.242 
3BZW                                 6           1479    1225.52 
3C0F                                 2            170    309.667 
3C18                                 2            579    648.804 
3C1A                                 1            307    389.195 
3C1Q                                 2            231      337.2 
3C1R                                 1            110    185.283 
3C2E                                 6           1602    1116.86 
3C2Q                                 4           1328    1049.51 
3C2U                                 4           2149    1454.19 
3C37                                 1            223    298.271 
3C46                                 1           1095    999.963 
3C4B                                 2            490    718.971 
3C4S                                 1             57    112.971 
3C57                                 2            100    211.573 
3C5K                                 1            108    176.656 
3C5N                                 1            231    305.523 
3C68                                 1            758    760.684 
3C6A                                 1            198    246.923 
3C6K                                 2            680    822.402 
3C6W                                 2             58    115.855 
3C70                                 2            512    587.223 
3C7M                                 1            195    266.712 
3C7T                                 2            518    654.859 
3C7X                                 1            196    259.413 
3C8C                                 2            480    654.166 
3C8E                                 2            567    525.927 
3C8I                                 4            512    587.867 
3C8L                                 4            480    468.037 
3C8M                                 2            646    689.694 
3C8N                                 2            675    673.671 
3C8W                                12           2982    1765.85 
3C8Z                                 1            399     517.03 
3C9A                                 2            255    341.777 
3C9F                                 1            531    571.603 
3C9H                                 1            334    388.131 
3C9I                                 3            708    5684.52 
3C9P                                 1            122     185.92 
3C9Q                                 2            195     260.98 
3C9U                                 2            620    671.472 
3CA7                                 1             50    130.097 
3CA8                                 1            261    332.749 
3CAN                                 2            322    404.924 
3CBN                                 1            144     202.82 
3CBP                                 2            243    361.831 
3CBW                                 1            336    357.276 
3CBZ                                 1            104    201.545 
3CCD                                 2            170    318.388 
3CEC                                 1             91    252.927 
3CET                                 2            630    833.128 
3CEX                                 2            340    416.289 
3CG6                                 2            259    467.554 
3CGI                                 6            672    661.394 
3CGX                                 1            231    305.672 
3CH4                                 1            188    282.654 
3CHB                                 5            515    533.491 
3CHH                                 2            599    676.796 
3CHJ                                 1            311    434.227 
3CHM                                 1            161      272.5 
3CHV                                 2            558    638.524 
3CI3                                 3            564    503.498 
3CI6                                 2            324    420.212 
3CI9                                 6            267     1020.6 
3CIJ                                 1            291    351.398 
3CIM                                 6            564    626.095 
3CIN                                 4           1528    1262.35 
3CIT                                 4            610    604.001 
3CJD                                 2            364    506.303 
3CJK                                 1             68    114.849 
3CJP                                 2            524    542.343 
3CJS                                 2            129    204.858 
3CJY                                 2            506    464.603 
3CK6                                 5           1219    1144.15 
3CKC                                 1            501    493.351 
3CKJ                                 2            600    737.325 
3CKK                                 1            196    268.869 
3CKM                                 1            318    424.451 
3CL5                                 2            716     784.71 
3CL6                                 4           1208    944.367 
3CLA                                 3            639    632.392 
3CLM                                 1            352    385.884 
3CM3                                 2            328     617.17 
3CMG                                 4           2632    1826.99 
3CNB                                 1            124    178.148 
3CNE                                 2            348    424.711 
3CNU                                 2            220    347.291 
3CNV                                 4            634    632.881 
3CNY                                 1            300    325.902 
3COV                                 2            563    760.206 
3CP0                                 1             63    106.813 
3CP3                                 2            254    351.659 
3CP7                                 2            432    513.918 
3CPG                                 1            253    313.029 
3CPT                                 2            235    318.834 
3CQ1                                 2            198    404.384 
3CQL                                 1            243    288.215 
3CRY                                 2            338      449.4 
3CSX                                 2            132    369.639 
3CT5                                 1            159     207.55 
3CT6                                 2            258    308.145 
3CTP                                 2            532    555.445 
3CTZ                                 2           1234    1120.41 
3CU2                                 2            471    574.257 
3CU9                                 1            314     331.86 
3CUZ                                 1            529    505.763 
3CVE                                 4            261    1578.29 
3CVG                                 1            270    387.931 
3CVJ                                 2            486    443.275 
3CVO                                 2            388    614.632 
3CWR                                 2            383    532.393 
3CWW                                 4           1909    1928.29 
3CXN                                 2            418    487.863 
3CYP                                 2            263     407.73 
3CZ1                                 2            232    336.956 
3CZ6                                 1            151    254.594 
3CZP                                 2            924    943.436 
3CZX                                 2            364    441.391 
3D00                                 2            368    459.308 
3D01                                 3            474      461.1 
3D02                                 1            300    366.539 
3D06                                 1            179    251.344 
3D0F                                 2            210    402.002 
3D0J                                 2            276    415.436 
3D0K                                 1            287    330.975 
3D0W                                 2            170    285.845 
3D1B                                 2            219    353.374 
3D1G                                 2            732    1019.72 
3D1K                                 4            576    571.113 
3D1P                                 1            120    179.685 
3D1R                                 1            321    357.704 
3D2Q                                 1             66    143.888 
3D2Y                                 2            257    416.358 
3D30                                 1            208    314.233 
3D32                                 2            128    196.577 
3D33                                 1             94    166.934 
3D34                                 2            426     481.58 
3D3B                                 2            226     334.16 
3D3M                                 1            161    236.506 
3D3Y                                 1            425    572.431 
3D47                                 2            810    693.154 
3D4E                                 1            162    281.101 
3D4U                                 2            370    379.836 
3D59                                 1            372    374.811 
3D6I                                 1            110    171.467 
3D6K                                 2            825    895.027 
3D6M                                 4            522    522.738 
3D6R                                 4            482    692.547 
3D7A                                 2            271    558.885 
3D7I                                 6            582    510.626 
3D7J                                 6            806    666.907 
3D85                                 4            852    1680.65 
3D9N                                 2            146    202.029 
3D9X                                 3            339    786.746 
3DA0                                 3            400    482.707 
3DA4                                 1            270    412.508 
3DA5                                 2            242    416.516 
3DAL                                 2            345    658.057 
3DAN                                 1            473    509.948 
3DB2                                 2            692    842.966 
3DB7                                 2            254    364.264 
3DBO                                 2            160    226.438 
3DCD                                 1            300     363.36 
3DCM                                 2            376    416.449 
3DCZ                                 1            170    231.368 
3DD7                                 2            141    186.617 
3DDC                                 4            598    737.315 
3DFF                                 1            266    324.774 
3DFG                                 1            142    361.799 
3DG6                                 2            732    748.941 
3DGP                                 2            125    257.493 
3DHA                                 1            254    291.427 
3DHF                                 2            928    832.881 
3DHU                                 1            422    499.302 
3DI4                                 2            554    535.278 
3DJE                                 1            436    453.012 
3DJH                                 3            342    354.409 
3DK9                                 2            924    942.839 
3DKS                                 3            379    501.882 
3DLC                                 1            219     289.68 
3DML                                 1             95    158.249 
3DMN                                 1            161     211.94 
3DN7                                 2            294    393.354 
3DNF                                 2            563    1069.33 
3DNH                                 2            467     557.61 
3DNJ                                 2             81    138.797 
3DNU                                 1            410    475.911 
3DNX                                 2            292    446.257 
3DNZ                                 1            316    381.834 
3DO6                                 4           2172    1716.63 
3DOU                                 1            175    228.181 
3DQG                                 2            295    454.988 
3DQY                                 1            106    164.839 
3DR2                                 2            596     696.94 
3DR4                                 2            730    715.741 
3DR9                                 1            136    210.561 
3DRF                                 2            547    554.976 
3DRW                                 2            910    1038.62 
3DS4                                 3            164    310.986 
3DSB                                 2            304    417.222 
3DSH                                 2            472    669.029 
3DSM                                 1            327    356.549 
3DSO                                 1             66    141.581 
3DSS                                 2            640    677.584 
3DT5                                 1            119    220.659 
3DTZ                                 5           1097    884.888 
3DUP                                 2            566    649.012 
3DVO                                 2            670    786.503 
3DXE                                 2            151    224.814 
3DXL                                 1            299     435.04 
3DXT                                 1            331    375.953 
3DYJ                                 1            317    847.002 
3DZ1                                 4           1204     929.43 
3DZA                                 4            711    611.403 
3DZZ                                 2            771    765.687 
3E03                                 2            539     617.01 
3E05                                 4            760    747.185 
3E0E                                 1             91    160.615 
3E0X                                 1            244    269.731 
3E0Z                                 1            107    153.735 
3E11                                 1            114    219.849 
3E19                                 8            598    743.145 
3E1E                                 4            558    513.673 
3E1R                                 3            101     355.52 
3E21                                 1             40    77.9452 
3E2D                                 2           1004    835.106 
3E2O                                 1            291    335.786 
3E2Q                                 2            936     1104.5 
3E2V                                 1            363     423.76 
3E3U                                 1            196    269.422 
3E3X                                 2            568    1068.01 
3E48                                 2            568    694.491 
3E4G                                 1            176    259.246 
3E4V                                 2            358    390.344 
3E4W                                 1            303    355.782 
3E5T                                 2            456     535.13 
3E61                                 4            960    982.129 
3E6C                                 2            450    519.185 
3E7D                                 2            406    433.519 
3E7H                                 4            406    692.149 
3E7R                                 1             40    85.8464 
3E8O                                 2            203     288.85 
3E8T                                 1            216    392.241 
3E96                                 2            596    607.544 
3E9K                                 2            890    873.051 
3E9V                                 1            120    197.242 
3EA1                                 1            296    328.645 
3EA6                                 1            215    309.182 
3EAF                                 1            384    404.793 
3EBK                                 1            165    217.315 
3EBQ                                 1            144    249.068 
3EBT                                 2            262    349.329 
3EBV                                 1            293    321.499 
3EC3                                 1            231    390.543 
3EC4                                 1            224    307.126 
3ECB                                 3            382    510.251 
3ECF                                 2            256     333.18 
3ED7                                 2            568    554.236 
3EDH                                 1            201    287.703 
3EDO                                 1            150    216.953 
3EDV                                 2            643    2831.61 
3EE4                                 2            578    624.103 
3EEA                                 2            304    490.082 
3EEH                                 1            116     213.13 
3EER                                 2            280    334.914 
3EF2                                 2            584    955.509 
3EF8                                 3            447    469.051 
3EFG                                 3            153    510.599 
3EFY                                 2            365    574.621 
3EGA                                 1            219    297.509 
3EH1                                 1            737    723.811 
3EHM                                 1            510    483.588 
3EI9                                 2            822    717.849 
3EIN                                 2            414    413.798 
3EIP                                 2            168    278.438 
3EJ9                                 6            364    370.845 
3EJK                                 2            314    417.137 
3EJN                                 1            450    487.577 
3EKI                                 1            365     477.54 
3EL6                                 2            542    890.805 
3ELF                                 4           1328    1521.66 
3ELJ                                 1            347    469.788 
3ELK                                 4            416    1273.91 
3ELL                                 1            183    255.791 
3ELN                                 1            187    270.063 
3ELQ                                 4           2260    1441.89 
3EMF                                 3            336    407.249 
3EMH                                 2            306    308.333 
3EMI                                 3            330    488.283 
3EMR                                 1            279     340.15 
3ENB                                 1            219    346.751 
3ENU                                 2            228    328.114 
3EO5                                 1            169    586.046 
3EO6                                 2            212    328.985 
3EO7                                 1            487    476.953 
3EOI                                 1            123    238.665 
3EOJ                                 3           1071    942.558 
3EPQ                                 2            586    605.101 
3EPV                                 2            218    430.295 
3EPW                                 2            652     703.42 
3EQN                                 1            752     600.66 
3EQX                                 2            731    901.313 
3ER6                                 2            376    407.655 
3ER7                                 2            241    416.414 
3ES4                                 2            232    311.421 
3ESL                                 1            195    361.328 
3ESM                                 2            272    376.216 
3ESS                                 1            199    297.285 
3ETJ                                 2            706    823.762 
3ETO                                 1            232    328.698 
3ETV                                 1            315    816.233 
3ETZ                                 1            106    670.873 
3EUR                                 1            140    197.617 
3EVF                                 1            261    333.624 
3EVY                                 1             83    176.708 
3EW0                                 2            153    317.088 
3EW8                                 1            357    361.593 
3EWN                                 2            484    459.314 
3EWY                                 2            514    523.341 
3EYE                                 1            153    215.069 
3EYT                                 4            622     815.14 
3EZI                                 1            104    198.378 
3F0D                                 3            447    393.725 
3F0H                                 2            724    675.077 
3F0P                                 1            208    279.446 
3F1L                                 2            489    574.101 
3F1P                                 2            225    309.232 
3F2E                                 1             83    143.098 
3F2K                                 2            201    299.171 
3F2Z                                 1            149    212.228 
3F3K                                 2            522    536.574 
3F40                                 2            224    349.737 
3F43                                 2            234    358.113 
3F47                                 2            688    1041.13 
3F4M                                 1            154    240.159 
3F4S                                 1            199    290.282 
3F59                                 1            149    221.584 
3F62                                 2            253    391.359 
3F6C                                 2            257    378.265 
3F6G                                 2            236    329.221 
3F6K                                 2            661    748.706 
3F6V                                 2            192    348.254 
3F6Y                                 1            235    349.469 
3F75                                 2            298    380.149 
3F7E                                 2            254    332.551 
3F7L                                 2            302    399.513 
3F7Q                                 1            214    696.321 
3F7W                                 1            288     377.47 
3F8M                                 2            455    609.121 
3F8T                                 1            459    723.446 
3F8X                                 2            263     346.92 
3F95                                 1            175    231.828 
3F9M                                 1            451    505.441 
3F9S                                 2            285    371.166 
3F9X                                 2            168    269.518 
3FAP                                 2            201    339.809 
3FAU                                 4            308    452.132 
3FB9                                 2            173    374.344 
3FBL                                 1             82    156.234 
3FCI                                 1            223    280.729 
3FCN                                 2            316    599.283 
3FD3                                 2            414    477.097 
3FD5                                 2            694    674.498 
3FDE                                 1            209     314.78 
3FDH                                 1            472    459.005 
3FDJ                                 1            276    338.682 
3FDQ                                 2            280    648.749 
3FEG                                 2            672    849.107 
3FF1                                 2            888    709.685 
3FF2                                 2            234    385.114 
3FF5                                 2            108    219.802 
3FF9                                 2            230    328.053 
3FFD                                 3            445    603.051 
3FFR                                 2            722     682.58 
3FFV                                 1            181    258.425 
3FFY                                 2            224    363.423 
3FG8                                 1            106    165.937 
3FG9                                 2            302    428.183 
3FGH                                 2            134    332.112 
3FGR                                 2            524    496.098 
3FGV                                 2            188    293.326 
3FH1                                 2            244    326.628 
3FH2                                 1            146    199.698 
3FHD                                 1            456    582.554 
3FHF                                 1            214    320.598 
3FHL                                 2            660    950.647 
3FHV                                 3            306    449.083 
3FHW                                 2            200     330.68 
3FIA                                 1             98    173.114 
3FIL                                 2            112     197.66 
3FJ1                                 2            660    571.154 
3FJU                                 2            372    433.036 
3FJV                                 2            370    573.865 
3FK8                                 1            131    188.918 
3FKA                                 4            477    500.218 
3FKC                                 1            113    255.166 
3FKE                                 1            123    202.393 
3FKR                                 2            606    658.818 
3FL2                                 1            116    226.401 
3FLG                                 1            135    230.285 
3FM2                                 2            266    371.589 
3FMC                                 4           1461    1116.89 
3FMY                                 2            130    199.837 
3FN4                                 2            798    782.889 
3FN5                                 1            161    219.088 
3FO3                                 6           3108    2126.36 
3FO5                                 2            472    631.893 
3FO8                                 1            274    375.693 
3FOJ                                 1            100    159.633 
3FOT                                 1            505    541.041 
3FOV                                 2            204     382.81 
3FPN                                 2            212    322.113 
3FPR                                 1             85    178.772 
3FPW                                 8           1120    785.162 
3FPZ                                 8           2464    1497.02 
3FQG                                 1            313    388.626 
3FQM                                 2            319    413.809 
3FR7                                 2            985    955.273 
3FRH                                 1            241    337.781 
3FRQ                                 2            369     506.12 
3FRY                                 2            145     401.79 
3FS8                                 3            777    633.974 
3FSA                                 1            122    191.562 
3FSG                                 3            797    1372.07 
3FSI                                 2            496    1899.54 
3FSO                                 1            109    215.384 
3FSS                                 1            221    352.572 
3FST                                 4           1111    1181.36 
3FT1                                 1            100    169.026 
3FTJ                                 1            214    331.563 
3FUC                                 3            822    776.202 
3FUT                                 1            264    431.297 
3FV5                                 1            180     256.76 
3FVH                                 2            238    336.543 
3FVS                                 2            838    781.459 
3FVY                                 1            718     794.87 
3FW9                                 1            495     500.33 
3FWK                                 1            291    351.735 
3FWN                                 2            934      863.9 
3FWY                                 2            536    519.347 
3FWZ                                 2            275     452.85 
3FX7                                 2            171    442.821 
3FXQ                                 4           1184     1419.4 
3FYB                                 2            186    289.325 
3FYM                                 1             82    144.677 
3FYR                                 3            114    212.632 
3FZE                                 1            185    241.222 
3G02                                 2            767    839.816 
3G0M                                 1            138    206.933 
3G0O                                 2            570    719.398 
3G16                                 2            308    362.062 
3G1J                                 1             90    150.362 
3G1Z                                 2            626    719.472 
3G21                                 2            154    263.766 
3G23                                 2            540    625.814 
3G2B                                 2            180    423.653 
3G2E                                 4            735    647.328 
3G36                                 2            103    188.185 
3G3K                                 2            508     558.21 
3G3S                                 2            498    708.368 
3G3T                                 1            274    416.941 
3G40                                 2            516    615.336 
3G46                                 2            292    363.405 
3G48                                 2            215    294.277 
3G4E                                 2            594    743.303 
3G5B                                 1            383    581.396 
3G5S                                 1            424    487.217 
3G5T                                 1            299    383.281 
3G63                                 1            372    433.509 
3G7G                                 4            576    560.325 
3G7P                                 2            290    491.945 
3G7R                                 2            391    477.019 
3G85                                 1            270    387.857 
3G89                                 1            238    315.283 
3G8Y                                 2            782    822.115 
3G91                                 1            260    302.382 
3G98                                 1            111    155.807 
3G9M                                 2            156    360.718 
3G9R                                 3            122    357.172 
3GA3                                 1            133    215.475 
3GA4                                 1            156    241.947 
3GA8                                 1             67    183.739 
3GAE                                 2            505    593.119 
3GAZ                                 2            661     786.15 
3GB5                                 2            370    420.271 
3GBG                                 1            260    344.701 
3GBW                                 1            161    213.201 
3GBY                                 2            254    364.256 
3GD0                                 1            362    459.395 
3GD6                                 2            748    765.058 
3GDW                                 2            273    350.772 
3GE3                                 8           1960    1541.38 
3GF3                                 4           2252    1348.12 
3GF6                                 1            219      306.8 
3GFA                                 2            392    415.518 
3GFV                                 1            286    382.466 
3GG7                                 1            243    281.869 
3GGN                                 2            260    434.074 
3GGQ                                 2            288    353.054 
3GGY                                 1            186    418.421 
3GHA                                 1            186    257.187 
3GI7                                 4            402    451.259 
3GIU                                 2            425    452.495 
3GIW                                 1            262    302.954 
3GIX                                 2            282    387.904 
3GIY                                 4           1412     1349.9 
3GJ8                                 2            231    312.367 
3GJY                                 1            279    330.039 
3GK6                                 1            153    225.885 
3GK7                                 2            894    818.229 
3GKJ                                 1            225    316.203 
3GKN                                 1            159    231.061 
3GKR                                 1            335    430.029 
3GMG                                 2            286    432.916 
3GMI                                 1            356    425.682 
3GMX                                 2            308    380.552 
3GN6                                 1            294    358.105 
3GNE                                 1            242    295.976 
3GNL                                 1            234    392.215 
3GNZ                                 1            211    264.072 
3GO5                                 1            285    754.379 
3GO6                                 2            574    765.869 
3GO9                                 1            458     643.08 
3GOC                                 2            456    589.887 
3GOE                                 1             80    157.256 
3GOH                                 1            297     390.84 
3GON                                 1            329    401.431 
3GP4                                 2            262    667.647 
3GPG                                 1            162    210.753 
3GPV                                 2            231    504.295 
3GQH                                 3            489    590.684 
3GQQ                                 1            167    265.002 
3GR3                                 2            452    487.722 
3GR4                                 4           2048     1666.8 
3GRE                                 1            408    447.461 
3GRL                                 1            601     1046.1 
3GS9                                 3            978    984.263 
3GVE                                 2            668    754.546 
3GVO                                 1            342    745.125 
3GWA                                 2            674    586.978 
3GWB                                 2            824    778.657 
3GWH                                 2            199    332.225 
3GWI                                 1            164    227.215 
3GWN                                 2            226    299.062 
3GWQ                                 2            803    788.739 
3GXW                                 1             93    168.013 
3GY9                                 1            149    220.636 
3GYB                                 2            507    531.948 
3GYC                                 1            381    380.756 
3GYK                                 1            174    242.423 
3GZA                                 2            869    1481.83 
3GZB                                 2            291    416.239 
3GZR                                 2            285    329.964 
3H05                                 2            318    488.899 
3H09                                 1            961       1139 
3H0N                                 2            368    564.822 
3H0O                                 1            240    293.721 
3H0U                                 3            826    728.974 
3H12                                 8           3136    1650.76 
3H1D                                 1            382    555.115 
3H20                                 1            288    987.016 
3H2Z                                 2            754    719.598 
3H36                                 2            156    305.455 
3H3L                                 2            464    634.088 
3H4T                                 1            390    454.219 
3H4X                                 1            315    336.443 
3H51                                 2            282    338.086 
3H56                                 3           1008    770.799 
3H5J                                 1            168    221.758 
3H5L                                 1            397    443.918 
3H63                                 1            315    343.375 
3H6J                                 3           1314    1021.88 
3H6N                                 2            208    476.439 
3H6P                                 4            238    959.128 
3H6Q                                 1            168    237.234 
3H6R                                 1            152      217.4 
3H74                                 1            278    311.335 
3H75                                 1            328    415.592 
3H79                                 1            115    171.496 
3H7C                                 1            369    364.381 
3H7H                                 2            213    290.819 
3H7I                                 1            302     438.46 
3H8G                                 6           2982    1894.41 
3H8H                                 1             92    163.532 
3H8T                                 4            728    1070.48 
3H8Z                                 1            112    243.836 
3H96                                 1            137    207.853 
3H9C                                 1            544     758.81 
3H9M                                 1            399    415.507 
3H9W                                 2            218    315.502 
3HA2                                 2            336    427.055 
3HAK                                 1            103    205.313 
3HBM                                 1            281    381.904 
3HC7                                 1            252    318.703 
3HDO                                 2            699    696.543 
3HE5                                 2             95    446.056 
3HFO                                 6            394    485.251 
3HFT                                 2            484    548.146 
3HFW                                 1            357    340.914 
3HGL                                 1             78    129.248 
3HGU                                 2            697    708.748 
3HH1                                 2            226    320.563 
3HHS                                 2           1325     1289.3 
3HHY                                 2            512    882.043 
3HI2                                 2            167    278.315 
3HID                                 2            848    722.333 
3HIE                                 2            324     542.12 
3HIU                                 2            288    404.718 
3HJ4                                 1            381     483.18 
3HJH                                 1            446    683.448 
3HKW                                 1            561    569.616 
3HL1                                 1            289    367.972 
3HLF                                 1            425    537.163 
3HLX                                 2            508    554.389 
3HLZ                                 1            268    508.611 
3HM4                                 2            303    333.339 
3HM5                                 1             74     144.51 
